item,itemLabel,itemDescription,statement_count
http://www.wikidata.org/entity/Q3761668,Priestley Glacier,,14
http://www.wikidata.org/entity/Q2404608,Mackay Glacier,,14
http://www.wikidata.org/entity/Q2517250,Vernagtferner,glacier in the Ötztal Alps in Tyrol,14
http://www.wikidata.org/entity/Q2604627,Zmutt Glacier,"glacier in the Pennine Alps in Valais, Switzerland",14
http://www.wikidata.org/entity/Q3056509,Kennicott Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q3108269,Barne Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q3108297,Illecillewaet Glacier,glacier in Canada,14
http://www.wikidata.org/entity/Q3108299,Mawson Glacier,,14
http://www.wikidata.org/entity/Q3108328,Glacier d'Ossoue,,14
http://www.wikidata.org/entity/Q261265,Gepatschferner,glacier in the Ötzal Alps at the border Tyrol / South Tyrol,14
http://www.wikidata.org/entity/Q403389,Aialik Glacier,"glacier in Alaska, United States",14
http://www.wikidata.org/entity/Q444153,Vallée Blanche,glacier of France,14
http://www.wikidata.org/entity/Q667461,Gries Glacier,glacier in Switzerland,14
http://www.wikidata.org/entity/Q674503,Corbassière Glacier,glacier in Switzerland,14
http://www.wikidata.org/entity/Q1542432,Greenland ice sheet,glacier in Greenland,14
http://www.wikidata.org/entity/Q16897225,Sørdomen,ice cap in Svalbard,14
http://www.wikidata.org/entity/Q674959,Fee Glacier,glacier in Switzerland,14
http://www.wikidata.org/entity/Q676713,Tsanfleuron Glacier,glacier in Switzerland,14
http://www.wikidata.org/entity/Q916190,Canada Glacier,polar glacier in Antarctica,14
http://www.wikidata.org/entity/Q941237,Johns Hopkins Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q1132039,Ninnis Glacier,glacier,14
http://www.wikidata.org/entity/Q1142234,Mount Karpinsky,glacier in Russia,14
http://www.wikidata.org/entity/Q1514989,Pine Island Glacier,glacier,14
http://www.wikidata.org/entity/Q1677189,Russell Fjord,glacier in United States,14
http://www.wikidata.org/entity/Q1771370,Seilandsjøkelen,"glacier in Finnmark, Norway",14
http://www.wikidata.org/entity/Q1777163,Knik Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q1809675,LeConte Glacier,"named by John Muir in 1879 "" in honor of His ( Muirs) geoligist friend who supported his theories on glaciers in Yosemiti valkey",14
http://www.wikidata.org/entity/Q1887480,Olav V Land,peninsula and glacier in Svalbard,14
http://www.wikidata.org/entity/Q4584884,Ålfotbreen,"glacier in Nordfjord, Norway",14
http://www.wikidata.org/entity/Q4712661,Albrecht Penck Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q6432888,Esmarkbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q6515284,Nordre Folgefonna,,14
http://www.wikidata.org/entity/Q12007829,Chomjakovbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q4849878,Balakirev Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q4865810,Bartók Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q6773997,Marston Glacier,,14
http://www.wikidata.org/entity/Q6800301,McCleary Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q6802245,McLin Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q15264629,Otago Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q15359088,Larsbreen,,14
http://www.wikidata.org/entity/Q5025422,Cambridge Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5091165,Chenega Glacier,"glacier in Alaska, United States",14
http://www.wikidata.org/entity/Q11075585,Hayesbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q11214872,Nordmannsjøkelen,"glacier in Hammerfest, Troms og Finnmark, Norway",14
http://www.wikidata.org/entity/Q11255762,Breidfonn,mountain in Norway,14
http://www.wikidata.org/entity/Q16890520,Comfortlessbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16891332,Fjortende Julibreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16894400,Lyngebreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16894690,Markhambreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16894723,Mathiasbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16895677,Nansenbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q16897655,Willybreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q11830012,Blomstrandbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q7127580,Palisade Glacier,"glacier in California, United States",14
http://www.wikidata.org/entity/Q7158092,Pearl Harbor Glacier,,14
http://www.wikidata.org/entity/Q5143002,Coleman Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q5210079,Dakshin Gangotri Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5225978,Darwin Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5242629,Dawson-Lambton Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q11984161,Linnébreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q18392420,Paulabreen,"glacier at Spitsbergen, Svalbard, Norway",14
http://www.wikidata.org/entity/Q5257911,Denman Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5286872,Dobrudzha Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5298737,Dorrer Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5338450,Edisto Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q7439647,Scylla Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q19521144,Mårmaglaciären,glacier in Sweden,14
http://www.wikidata.org/entity/Q19521154,Suottasjekna,glacier in Sweden,14
http://www.wikidata.org/entity/Q19521156,Jåkkåtjkaskajekna,glacier in Sweden,14
http://www.wikidata.org/entity/Q19634436,Penckbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q23834508,Kjerulfbreen,glacier in Jan Mayen,14
http://www.wikidata.org/entity/Q5606937,Gregory Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5607617,Gressitt Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5622856,Guyot Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q20708080,Liestølbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q7649098,Susitna Glacier,glacier in the United States,14
http://www.wikidata.org/entity/Q5681505,Hatherton Glacier,glacier in Antarctica,14
http://www.wikidata.org/entity/Q5797147,Myklebustbreen,glacier in Norway,14
http://www.wikidata.org/entity/Q24832857,Ejnar Mikkelsen Gletscher,glacier in Greenland,14
http://www.wikidata.org/entity/Q25239231,Svalbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q27670201,Isfallsglaciären,Swedish glacier,14
http://www.wikidata.org/entity/Q28060517,Holtenbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28060707,Palanderbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28064673,Normanbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28064687,Schweigaardbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28064688,Duvebreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28065183,Vikingbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28067322,Croftbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28068352,Aldousbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28068645,Frazerbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28069009,Idunbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28069713,Backabreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28086653,Hartmannbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28086657,Kong Johans Bre,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28086662,Kuhrbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28089670,Rutenbergbreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28095220,Augnebreen,glacier in Svalbard,14
http://www.wikidata.org/entity/Q28095263,Peer Gyntslottet,glacier in Svalbard,14
http://www.wikidata.org/entity/Q1389459,Riiser-Larsen Ice Shelf,ice shelf in Antarctica,14
http://www.wikidata.org/entity/Q1389927,Shackleton Ice Shelf,ice shelf in Antarctica,14
http://www.wikidata.org/entity/Q825948,Getz Ice Shelf,ice shelf in Antarctica,14
http://www.wikidata.org/entity/Q994192,Brunt Ice Shelf,Antarctic ice shelf,14
http://www.wikidata.org/entity/Q4698593,Airdevronsix Icefalls,icefall on the Wright Upper Glacier in Antarctica,14
http://www.wikidata.org/entity/Q7807641,Timpanogos Glacier,"rock glacier on Mount Timpanogos in Utah County, Utah, United States",14
http://www.wikidata.org/entity/Q3108372,Batura Glacier,glacier in Pakistan,13
http://www.wikidata.org/entity/Q3374898,Leighbreen,"glacier at Nordaustlandet, Svalbard, Norway",13
http://www.wikidata.org/entity/Q3442400,Tunsbergdalsbreen,"glacier in Luster, Norway",13
http://www.wikidata.org/entity/Q3646298,Lekhziri Glacier,glacier in Georgia,13
http://www.wikidata.org/entity/Q3647324,Altimir Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q3761656,Blue Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q3761660,Erebus Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q2331492,Hinlopenbreen,glacier in Svalbard,13
http://www.wikidata.org/entity/Q2877341,Tyndall Glacier,glacier in Chile,13
http://www.wikidata.org/entity/Q2905553,Blackfoot Glacier,glacier in the United States,13
http://www.wikidata.org/entity/Q3108261,Aagaard Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q3108290,Drygalski Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q3108315,Thomas Glacier,"glacier in Ellsworth Land, Antarctica",13
http://www.wikidata.org/entity/Q23906,Merrick Glacier,glacier in Antarctica,13
http://www.wikidata.org/entity/Q82359,Moiry Glacier,glacier in Switzerland,13
http://www.wikidata.org/entity/Q589143,Fiescher Glacier,glacier in Switzerland,13
http://www.wikidata.org/entity/Q653140,Columbia Glacier,glacier in Washington,13
http://www.wikidata.org/entity/Q672939,Arolla Glacier,glacier in Switzerland,13
http://www.wikidata.org/entity/Q3123623,West Antarctic Ice Sheet,segment of the continental ice sheet that covers West (or Lesser) Antarctica,13
http://www.wikidata.org/entity/Q4266357,Lomonosovfonna,ice cap on Svalbard,13
http://www.wikidata.org/entity/Q16891713,Glitnefonna,glacier in Svalbard,13
http://www.wikidata.org/entity/Q675092,Lang Glacier,glacier in Switzerland,13
