item,itemLabel,linkcount
http://www.wikidata.org/entity/Q2613997,Brüggen Glacier,9
http://www.wikidata.org/entity/Q3108269,Barne Glacier,9
http://www.wikidata.org/entity/Q3108286,Crosswell Glacier,9
http://www.wikidata.org/entity/Q3108288,Dater Glacier,9
http://www.wikidata.org/entity/Q3108299,Mawson Glacier,9
http://www.wikidata.org/entity/Q3108315,Thomas Glacier,9
http://www.wikidata.org/entity/Q1659727,Nordenskiöldbreen,9
http://www.wikidata.org/entity/Q3761721,Bowers Piedmont Glacier,9
http://www.wikidata.org/entity/Q3776662,Pindari Glacier,9
http://www.wikidata.org/entity/Q4257129,Lednik Petrova,9
http://www.wikidata.org/entity/Q4662040,Aaron Glacier,9
http://www.wikidata.org/entity/Q4680355,Adams Glacier (Wilkes Land),9
http://www.wikidata.org/entity/Q4691139,Agalina Glacier,9
http://www.wikidata.org/entity/Q4695195,Ahlmann Glacier,9
http://www.wikidata.org/entity/Q4699320,Aitkenhead Glacier,9
http://www.wikidata.org/entity/Q4709266,Albanus Glacier,9
http://www.wikidata.org/entity/Q4712661,Albrecht Penck Glacier,9
http://www.wikidata.org/entity/Q4724218,Algie Glacier,9
http://www.wikidata.org/entity/Q4725881,Alice Glacier,9
http://www.wikidata.org/entity/Q4732192,Alley Glacier,9
http://www.wikidata.org/entity/Q4732749,Allison Glacier,9
http://www.wikidata.org/entity/Q6773125,Mars Glacier,9
http://www.wikidata.org/entity/Q6800285,McClary Glacier,9
http://www.wikidata.org/entity/Q6802245,McLin Glacier,9
http://www.wikidata.org/entity/Q6818618,Mercury Glacier,9
http://www.wikidata.org/entity/Q6890362,Moffett Glacier,9
http://www.wikidata.org/entity/Q6939246,Murray Glacier,9
http://www.wikidata.org/entity/Q6995667,Neptune Glacier,9
http://www.wikidata.org/entity/Q7039432,Nipe Glacier,9
http://www.wikidata.org/entity/Q7136613,Pare Glacier,9
http://www.wikidata.org/entity/Q7144566,Paternostro Glacier,9
http://www.wikidata.org/entity/Q7155912,Pavlak Glacier,9
http://www.wikidata.org/entity/Q7171103,Perunika Glacier,9
http://www.wikidata.org/entity/Q7205681,Pluto Glacier,9
http://www.wikidata.org/entity/Q6426039,Kohler Glacier,9
http://www.wikidata.org/entity/Q6429279,Kongur Glacier,9
http://www.wikidata.org/entity/Q6433028,Kosco Glacier,9
http://www.wikidata.org/entity/Q6436554,Krebs Glacier,9
http://www.wikidata.org/entity/Q6486120,Langhovde Glacier,9
http://www.wikidata.org/entity/Q6522832,Lennox-King Glacier,9
http://www.wikidata.org/entity/Q4738570,Alyabiev Glacier,9
http://www.wikidata.org/entity/Q4754072,Anderson Glacier,9
